orgName,type,desc,place,date,time,img,logo,url
Tene Recycing Program,Recycling,Exchange an old charger or 50 bottle caps for a new Tene USB charger!,"Tbilisi, Sokhumi Street N4","December 27, 2023",16:00 - 18:00,https://i.postimg.cc/zvQ0144L/371109149-700588932095644-8244222026322386875-n.jpg,tene.jpg,https://www.facebook.com/TeneUSB/posts/pfbid02jFWqWXr5bdZPmHV5G2Rk3ydJAJmadbvCDxQnGzJ5HmFCSR6dLTuFziQbcBsQSg3dl
Helping Hand,Volunteering,Help Helping Hand Volunteers Group clean Tbilisi. Make it a better place!,"Tbilisi, Dighomi Forest Park","December 10, 2023",11:00 - 15:00,https://img.freepik.com/free-vector/happy-volunteers-cleaning-city-park-from-garbage-isolated-flat-illustration_74855-16164.jpg?size=626&ext=jpg&ga=GA1.1.1546980028.1704067200&semt=ais,helpinghand.png,https://youthvolunteering.ge/project/dasuftavebis-aktsia-1086
Caritas Education ,Volunteering,Increase access to inclusive education for all children living in Georgia.,"Tbilisi, Besarion Street N45","November 26, 2023",9:00 - 15:00,https://caritas.ge/uploads/posts/2020-03/1583932555_9.jpg,caritas.png,https://caritas.ge/194--.html
Tene Recycing Program,Recycling,Exchange an old charger or 50 bottle caps for a new Tene USB charger!,Marneuli,"13 December, 2023",14:00 -15:00,https://i.postimg.cc/pVmSsBw9/404477173-751458270342043-6236880373640559509-n.jpg,tene.jpg,https://www.facebook.com/photo/?fbid=751458273675376&set=a.635006688653869
Technological Center,Volunteering,Provide youth with professional education in the field of creative technologies.,"Tbilisi, Besarion Street N45","20 November, 2023",10:00 - 16:00,https://i.postimg.cc/q7QF5DBK/413861832-734690128717702-1854221779415025284-n.jpg,caritas.png,https://caritas.ge/194--.html
Caritas Child Protection,Volunteering,The goal of the program is to protect children from abuse and discrimination.,"Tbilisi, Besarion Street N45","19 November, 2023",10:00 - 17:00,https://caritas.ge/uploads/posts/2020-05/1588934040_-.jpg,caritas.png,https://caritas.ge/152--.html
Helping Hand,Volunteering,Help Helping Hand Volunteers Group clean Tbilisi. Make it a better place!,"Tbilisi, Vake Park","10 November, 2023",12:00 - 15:00,https://i.postimg.cc/PJhnGvsp/410173055-764635025691034-461674908992355608-n.jpg,helpinghand.png,https://youthvolunteering.ge/project/dasuftavebis-aktsia-1086
Tene Recycing Program,Recycling,Tene has expanded recycling spots for plastic materials all around Georgia.,"Tbilisi, Saburtalo","9 November, 2023",16:00 - 18:00,https://i.postimg.cc/PrXn2DQ0/410191179-764634895691047-7080102848603046618-n.jpg,tene.jpg,https://www.facebook.com/photo/?fbid=764634912357712&set=pb.100064336315895.-2207520000
Caritas Charity Event,Volunteering,Youth empowerment and promoting gender equality for all Georgian citizens. ,"Tbilisi, Besarion Street N45","8 November, 2023",16:00 - 18:01,https://i.postimg.cc/5y3NSdpm/340736640-705702071243447-3909539841324856344-n.jpg,caritas.png,https://www.facebook.com/CaritasGeorgiaOfficial/photos/pcb.5970071783071337/5970062456405603/
Community kitchen,Volunteering,Improving the quality of life for people in need through the provision of hot meals.,"Tbilisi, Besarion Street N46","1 November, 2023",9:00 - 18:00,https://i.postimg.cc/Znpyt5ZF/1649070474-soup-kitchen-gallery-5.jpg,caritas.png,https://caritas.ge/190--.html
Health Program,Volunteering,Increasing access to medical services for the vulnerable population of Georgia.,"Tbilisi, Besarion Street N45","31 October, 2023",10:00 - 14:00,https://caritas.ge/uploads/posts/2020-03/1583926986_7.jpg,caritas.png,https://caritas.ge/184--.html
